                                     | Core 0    
  Instructions                       |  300472861
  Cycles                             |  271484241
  IPC                                |       1.11
  Time (ns)                          |  102061745
  Idle time (ns)                     |      55314
  Idle time (%)                      |       0.1%
Branch predictor stats               |           
  num correct                        |   14638905
  num incorrect                      |      41812
  misprediction rate                 |      0.28%
  mpki                               |       0.14
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   30388660
    num misses                       |         43
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |  116045703
    num misses                       |     280850
    miss rate                        |      0.24%
    mpki                             |       0.93
  L2 TLB                             |           
    num accesses                     |     280893
    num misses                       |      88590
    miss rate                        |     31.54%
    mpki                             |       0.29
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   30388660
    num cache misses                 |      44163
    miss rate                        |      0.15%
    mpki                             |       0.15
  Cache L1-D                         |           
    num cache accesses               |  116045703
    num cache misses                 |   10256007
    miss rate                        |      8.84%
    mpki                             |      34.13
  Cache L2                           |           
    num cache accesses               |   10425209
    num cache misses                 |    9203115
    miss rate                        |     88.28%
    mpki                             |      30.63
  Cache L3                           |           
    num cache accesses               |    9328154
    num cache misses                 |    1484589
    miss rate                        |     15.92%
    mpki                             |       4.94
DRAM summary                         |           
  num dram accesses                  |    2694375
  average dram access latency (ns)   |      77.17
  average dram queueing delay        |      23.74
  average dram bandwidth utilization |     22.00%
Coherency Traffic                    |           
  num loads from dram                |    1125750
  num loads from dram cache          |          0
  num loads from remote cache        |          0
