                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  693480007 |  706912365 |  688785221 |  687489646
  Cycles                             |  364530303 |  364530303 |  364530303 |  364530303
  IPC                                |       1.90 |       1.94 |       1.89 |       1.89
  Time (ns)                          |  137041468 |  137041468 |  137041468 |  137041468
  Idle time (ns)                     |    9973613 |    3942870 |   14449742 |   13029842
  Idle time (%)                      |       7.3% |       2.9% |      10.5% |       9.5%
Branch predictor stats               |            |            |            |           
  num correct                        |   43990056 |   46239222 |   45173315 |   44316002
  num incorrect                      |    1829932 |    2285292 |    1821092 |    1799407
  misprediction rate                 |      3.99% |      4.71% |      3.88% |      3.90%
  mpki                               |       2.64 |       3.23 |       2.64 |       2.62
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   68900393 |   71253400 |   68465941 |   68305233
    num misses                       |         50 |         60 |         48 |         49
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   97982697 |  101095877 |   96702161 |   96875427
    num misses                       |     694897 |     717202 |     650083 |     668958
    miss rate                        |      0.71% |      0.71% |      0.67% |      0.69%
    mpki                             |       1.00 |       1.01 |       0.94 |       0.97
  L2 TLB                             |            |            |            |           
    num accesses                     |     694947 |     717262 |     650131 |     669007
    num misses                       |      87657 |      93421 |      69687 |      89194
    miss rate                        |     12.61% |     13.02% |     10.72% |     13.33%
    mpki                             |       0.13 |       0.13 |       0.10 |       0.13
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   68900393 |   71253400 |   68465941 |   68305233
    num cache misses                 |       8099 |       8448 |       7063 |       8051
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   97982697 |  101095877 |   96702161 |   96875427
    num cache misses                 |    1002886 |    1164621 |     942297 |     985588
    miss rate                        |      1.02% |      1.15% |      0.97% |      1.02%
    mpki                             |       1.45 |       1.65 |       1.37 |       1.43
  Cache L2                           |            |            |            |           
    num cache accesses               |    1014518 |    1174982 |     952191 |     996965
    num cache misses                 |     489745 |     598856 |     448009 |     477274
    miss rate                        |     48.27% |     50.97% |     47.05% |     47.87%
    mpki                             |       0.71 |       0.85 |       0.65 |       0.69
  Cache L3                           |            |            |            |           
    num cache accesses               |     493864 |     600908 |     451176 |     481172
    num cache misses                 |      40159 |      43541 |      39033 |      38692
    miss rate                        |      8.13% |      7.25% |      8.65% |      8.04%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |            |           
  num dram accesses                  |     219969 |          0 |          0 |          0
  average dram access latency (ns)   |  123115.66 |        inf |        inf |        inf
  average dram queueing delay        |  123062.23 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       3481 |      10937 |       3171 |       3241
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
