                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  270627040 |  274089232 |  259760941 |  269975528
  Cycles                             |  486967086 |  486967086 |  486967086 |  486967086
  IPC                                |       0.56 |       0.56 |       0.53 |       0.55
  Time (ns)                          |  183070333 |  183070333 |  183070333 |  183070333
  Idle time (ns)                     |    6150235 |    6214010 |   11360775 |    6187079
  Idle time (%)                      |       3.4% |       3.4% |       6.2% |       3.4%
Branch predictor stats               |            |            |            |           
  num correct                        |   20587402 |   20563139 |   21461354 |   20276830
  num incorrect                      |   11879737 |   11800672 |   11727245 |   11896289
  misprediction rate                 |     36.59% |     36.46% |     35.34% |     36.98%
  mpki                               |      43.90 |      43.05 |      45.15 |      44.06
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   41576949 |   42336059 |   42672802 |   41496676
    num misses                       |         43 |         37 |         38 |         36
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |  105361755 |  107812422 |   99829813 |  105623344
    num misses                       |      86268 |      52851 |      38896 |      67101
    miss rate                        |      0.08% |      0.05% |      0.04% |      0.06%
    mpki                             |       0.32 |       0.19 |       0.15 |       0.25
  L2 TLB                             |            |            |            |           
    num accesses                     |      86311 |      52888 |      38934 |      67137
    num misses                       |       8348 |       5325 |       5196 |       7058
    miss rate                        |      9.67% |     10.07% |     13.35% |     10.51%
    mpki                             |       0.03 |       0.02 |       0.02 |       0.03
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   41576949 |   42336059 |   42672802 |   41496676
    num cache misses                 |       5543 |       4126 |       4228 |       4680
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.02 |       0.02 |       0.02 |       0.02
  Cache L1-D                         |            |            |            |           
    num cache accesses               |  105361755 |  107812422 |   99829813 |  105623344
    num cache misses                 |     429171 |     364409 |     349901 |     410615
    miss rate                        |      0.41% |      0.34% |      0.35% |      0.39%
    mpki                             |       1.59 |       1.33 |       1.35 |       1.52
  Cache L2                           |            |            |            |           
    num cache accesses               |     460207 |     392052 |     377595 |     441155
    num cache misses                 |     176768 |     140885 |     122673 |     168027
    miss rate                        |     38.41% |     35.94% |     32.49% |     38.09%
    mpki                             |       0.65 |       0.51 |       0.47 |       0.62
  Cache L3                           |            |            |            |           
    num cache accesses               |     202926 |     164486 |     146894 |     194225
    num cache misses                 |       7224 |       8764 |      16974 |       6800
    miss rate                        |      3.56% |      5.33% |     11.56% |      3.50%
    mpki                             |       0.03 |       0.03 |       0.07 |       0.03
DRAM summary                         |            |            |            |           
  num dram accesses                  |      79316 |          0 |          0 |          0
  average dram access latency (ns)   |      57.69 |        inf |        inf |        inf
  average dram queueing delay        |       4.26 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      0.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       5748 |       6692 |      13116 |       5728
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
