                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  693806524 |  707072478 |  689364597 |  687965248
  Cycles                             |  396823232 |  396823232 |  396823232 |  396823232
  IPC                                |       1.75 |       1.78 |       1.74 |       1.73
  Time (ns)                          |  149181666 |  149181666 |  149181666 |  149181666
  Idle time (ns)                     |   12771322 |    4038491 |   16123011 |   15453930
  Idle time (%)                      |       8.6% |       2.7% |      10.8% |      10.4%
Branch predictor stats               |            |            |            |           
  num correct                        |   42695083 |   44641162 |   43905014 |   43066272
  num incorrect                      |    3233688 |    3936800 |    3282553 |    3207324
  misprediction rate                 |      7.04% |      8.10% |      6.96% |      6.93%
  mpki                               |       4.66 |       5.57 |       4.76 |       4.66
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   68900444 |   71253315 |   68465920 |   68305477
    num misses                       |         50 |         60 |         48 |         49
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   98091565 |  101149187 |   96895297 |   97034111
    num misses                       |     700770 |     722825 |     649323 |     673582
    miss rate                        |      0.71% |      0.71% |      0.67% |      0.69%
    mpki                             |       1.01 |       1.02 |       0.94 |       0.98
  L2 TLB                             |            |            |            |           
    num accesses                     |     700820 |     722885 |     649371 |     673631
    num misses                       |      89281 |      91433 |      69750 |      88435
    miss rate                        |     12.74% |     12.65% |     10.74% |     13.13%
    mpki                             |       0.13 |       0.13 |       0.10 |       0.13
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   68900444 |   71253315 |   68465920 |   68305477
    num cache misses                 |       8067 |       8353 |       6970 |       7988
    miss rate                        |      0.01% |      0.01% |      0.01% |      0.01%
    mpki                             |       0.01 |       0.01 |       0.01 |       0.01
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   98091565 |  101149187 |   96895297 |   97034111
    num cache misses                 |    1006011 |    1164570 |     942243 |     985605
    miss rate                        |      1.03% |      1.15% |      0.97% |      1.02%
    mpki                             |       1.45 |       1.65 |       1.37 |       1.43
  Cache L2                           |            |            |            |           
    num cache accesses               |    1017362 |    1174588 |     951837 |     996733
    num cache misses                 |     489657 |     598722 |     447677 |     477303
    miss rate                        |     48.13% |     50.97% |     47.03% |     47.89%
    mpki                             |       0.71 |       0.85 |       0.65 |       0.69
  Cache L3                           |            |            |            |           
    num cache accesses               |     493503 |     600527 |     450605 |     480981
    num cache misses                 |      40250 |      42885 |      39152 |      39188
    miss rate                        |      8.16% |      7.14% |      8.69% |      8.15%
    mpki                             |       0.06 |       0.06 |       0.06 |       0.06
DRAM summary                         |            |            |            |           
  num dram accesses                  |     220034 |          0 |          0 |          0
  average dram access latency (ns)   |  122414.72 |        inf |        inf |        inf
  average dram queueing delay        |  122361.29 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      1.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |       3617 |      10243 |       3183 |       3315
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
