                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  171509908 |  170608587 |  166973860 |  164304123
  Cycles                             |   84555325 |   84555325 |   84555325 |   84555325
  IPC                                |       2.03 |       2.02 |       1.97 |       1.94
  Time (ns)                          |   31787717 |   31787717 |   31787717 |   31787717
  Idle time (ns)                     |      87624 |     752080 |     125756 |     791711
  Idle time (%)                      |       0.3% |       2.4% |       0.4% |       2.5%
Branch predictor stats               |            |            |            |           
  num correct                        |   12138627 |    9067307 |   12741224 |    6756395
  num incorrect                      |     242258 |     238051 |     225735 |     287383
  misprediction rate                 |      1.96% |      2.56% |      1.74% |      4.08%
  mpki                               |       1.41 |       1.40 |       1.35 |       1.75
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   21898091 |   19070860 |   21991073 |   16807468
    num misses                       |         49 |         45 |         52 |         45
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   59298047 |   59835004 |   59403345 |   59019842
    num misses                       |      17920 |      16381 |      17947 |      18569
    miss rate                        |      0.03% |      0.03% |      0.03% |      0.03%
    mpki                             |       0.10 |       0.10 |       0.11 |       0.11
  L2 TLB                             |            |            |            |           
    num accesses                     |      17969 |      16426 |      17999 |      18614
    num misses                       |       6272 |       4454 |       5646 |       5549
    miss rate                        |     34.90% |     27.12% |     31.37% |     29.81%
    mpki                             |       0.04 |       0.03 |       0.03 |       0.03
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   21898091 |   19070860 |   21991073 |   16807468
    num cache misses                 |      18461 |      17121 |      16466 |      20379
    miss rate                        |      0.08% |      0.09% |      0.07% |      0.12%
    mpki                             |       0.11 |       0.10 |       0.10 |       0.12
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   59298047 |   59835004 |   59403345 |   59019842
    num cache misses                 |     859443 |     764849 |     910750 |     868609
    miss rate                        |      1.45% |      1.28% |      1.53% |      1.47%
    mpki                             |       5.01 |       4.48 |       5.45 |       5.29
  Cache L2                           |            |            |            |           
    num cache accesses               |     942722 |     834243 |     990744 |     944828
    num cache misses                 |     397178 |     282124 |     354858 |     381999
    miss rate                        |     42.13% |     33.82% |     35.82% |     40.43%
    mpki                             |       2.32 |       1.65 |       2.13 |       2.32
  Cache L3                           |            |            |            |           
    num cache accesses               |     462031 |     334478 |     418451 |     437887
    num cache misses                 |     137631 |      89797 |     109864 |     138987
    miss rate                        |     29.79% |     26.85% |     26.25% |     31.74%
    mpki                             |       0.80 |       0.53 |       0.66 |       0.85
DRAM summary                         |            |            |            |           
  num dram accesses                  |     872898 |          0 |          0 |          0
  average dram access latency (ns)   |   22092.69 |        inf |        inf |        inf
  average dram queueing delay        |   22039.26 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |     23.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      82018 |      77024 |      75201 |      69173
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
