                                     | Core 0    
  Instructions                       |  300472861
  Cycles                             |  718026669
  IPC                                |       0.42
  Time (ns)                          |  269934838
  Idle time (ns)                     |      55243
  Idle time (%)                      |       0.0%
Branch predictor stats               |           
  num correct                        |   14638934
  num incorrect                      |      41783
  misprediction rate                 |      0.28%
  mpki                               |       0.14
TLB Summary                          |           
  I-TLB                              |           
    num accesses                     |   30388660
    num misses                       |         43
    miss rate                        |      0.00%
    mpki                             |       0.00
  D-TLB                              |           
    num accesses                     |  116045704
    num misses                       |     284109
    miss rate                        |      0.24%
    mpki                             |       0.95
  L2 TLB                             |           
    num accesses                     |     284152
    num misses                       |      88467
    miss rate                        |     31.13%
    mpki                             |       0.29
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |   30388660
    num cache misses                 |      44232
    miss rate                        |      0.15%
    mpki                             |       0.15
  Cache L1-D                         |           
    num cache accesses               |  116045704
    num cache misses                 |   10285626
    miss rate                        |      8.86%
    mpki                             |      34.23
  Cache L2                           |           
    num cache accesses               |   10454902
    num cache misses                 |    9214270
    miss rate                        |     88.13%
    mpki                             |      30.67
  Cache L3                           |           
    num cache accesses               |    9339314
    num cache misses                 |    1482831
    miss rate                        |     15.88%
    mpki                             |       4.93
DRAM summary                         |           
  num dram accesses                  |    2692479
  average dram access latency (ns)   |      60.35
  average dram queueing delay        |       6.92
  average dram bandwidth utilization |      8.00%
Coherency Traffic                    |           
  num loads from dram                |    1177347
  num loads from dram cache          |          0
  num loads from remote cache        |          0
