                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  119955447 |  121640464 |  120183937 |  121019999
  Cycles                             |  232125209 |  232125209 |  232125209 |  232125209
  IPC                                |       0.52 |       0.52 |       0.52 |       0.52
  Time (ns)                          |   87265117 |   87265117 |   87265117 |   87265117
  Idle time (ns)                     |     435305 |     496836 |     482662 |     473061
  Idle time (%)                      |       0.5% |       0.6% |       0.6% |       0.5%
Branch predictor stats               |            |            |            |           
  num correct                        |    8767217 |    9039019 |    8888265 |    8909017
  num incorrect                      |    4268754 |    4338421 |    4243296 |    4260463
  misprediction rate                 |     32.75% |     32.43% |     32.31% |     32.35%
  mpki                               |      35.59 |      35.67 |      35.31 |      35.20
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   16448789 |   16488058 |   16344149 |   16482449
    num misses                       |         50 |         50 |         48 |         50
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   46732769 |   47278396 |   46835086 |   47104745
    num misses                       |     307349 |     262971 |     299709 |     296641
    miss rate                        |      0.66% |      0.56% |      0.64% |      0.63%
    mpki                             |       2.56 |       2.16 |       2.49 |       2.45
  L2 TLB                             |            |            |            |           
    num accesses                     |     307399 |     263021 |     299757 |     296691
    num misses                       |      47620 |      43640 |      51604 |      42716
    miss rate                        |     15.49% |     16.59% |     17.22% |     14.40%
    mpki                             |       0.40 |       0.36 |       0.43 |       0.35
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   16448789 |   16488058 |   16344149 |   16482449
    num cache misses                 |      50115 |      52198 |      52956 |      47506
    miss rate                        |      0.30% |      0.32% |      0.32% |      0.29%
    mpki                             |       0.42 |       0.43 |       0.44 |       0.39
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   46732769 |   47278396 |   46835086 |   47104745
    num cache misses                 |    1753978 |    1371205 |    1529657 |    1526661
    miss rate                        |      3.75% |      2.90% |      3.27% |      3.24%
    mpki                             |      14.62 |      11.27 |      12.73 |      12.61
  Cache L2                           |            |            |            |           
    num cache accesses               |    1809639 |    1432635 |    1589626 |    1581131
    num cache misses                 |     399041 |     459532 |     451037 |     370328
    miss rate                        |     22.05% |     32.08% |     28.37% |     23.42%
    mpki                             |       3.33 |       3.78 |       3.75 |       3.06
  Cache L3                           |            |            |            |           
    num cache accesses               |     404587 |     468761 |     458047 |     377288
    num cache misses                 |      44896 |      45936 |      58113 |      47600
    miss rate                        |     11.10% |      9.80% |     12.69% |     12.62%
    mpki                             |       0.37 |       0.38 |       0.48 |       0.39
DRAM summary                         |            |            |            |           
  num dram accesses                  |     314561 |          0 |          0 |          0
  average dram access latency (ns)   |      58.12 |        inf |        inf |        inf
  average dram queueing delay        |       4.69 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      3.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      44300 |      45514 |      57734 |      47136
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
