                                     | Core 0     | Core 1     | Core 2     | Core 3    
  Instructions                       |  120129678 |  123438958 |  120051657 |  119543710
  Cycles                             |  187816791 |  187816791 |  187816791 |  187816791
  IPC                                |       0.64 |       0.66 |       0.64 |       0.64
  Time (ns)                          |   70607817 |   70607817 |   70607817 |   70607817
  Idle time (ns)                     |     468158 |     506394 |     483090 |     461701
  Idle time (%)                      |       0.7% |       0.7% |       0.7% |       0.7%
Branch predictor stats               |            |            |            |           
  num correct                        |   10327159 |   10852109 |   10454221 |   10293228
  num incorrect                      |    2721742 |    2733418 |    2691030 |    2701556
  misprediction rate                 |     20.86% |     20.12% |     20.47% |     20.79%
  mpki                               |      22.66 |      22.14 |      22.42 |      22.60
TLB Summary                          |            |            |            |           
  I-TLB                              |            |            |            |           
    num accesses                     |   16364629 |   16734913 |   16310995 |   16394024
    num misses                       |         50 |         50 |         47 |         43
    miss rate                        |      0.00% |      0.00% |      0.00% |      0.00%
    mpki                             |       0.00 |       0.00 |       0.00 |       0.00
  D-TLB                              |            |            |            |           
    num accesses                     |   46777231 |   47987016 |   46719915 |   46568287
    num misses                       |     291044 |     246885 |     272196 |     293143
    miss rate                        |      0.62% |      0.51% |      0.58% |      0.63%
    mpki                             |       2.42 |       2.00 |       2.27 |       2.45
  L2 TLB                             |            |            |            |           
    num accesses                     |     291094 |     246935 |     272243 |     293186
    num misses                       |      41412 |      42219 |      47791 |      46774
    miss rate                        |     14.23% |     17.10% |     17.55% |     15.95%
    mpki                             |       0.34 |       0.34 |       0.40 |       0.39
Cache Summary                        |            |            |            |           
  Cache L1-I                         |            |            |            |           
    num cache accesses               |   16364629 |   16734913 |   16310995 |   16394024
    num cache misses                 |      44851 |      46023 |      54560 |      50663
    miss rate                        |      0.27% |      0.28% |      0.33% |      0.31%
    mpki                             |       0.37 |       0.37 |       0.45 |       0.42
  Cache L1-D                         |            |            |            |           
    num cache accesses               |   46777231 |   47987016 |   46719915 |   46568287
    num cache misses                 |    1523924 |    1369215 |    1558910 |    1747336
    miss rate                        |      3.26% |      2.85% |      3.34% |      3.75%
    mpki                             |      12.69 |      11.09 |      12.99 |      14.62
  Cache L2                           |            |            |            |           
    num cache accesses               |    1576004 |    1424716 |    1620881 |    1804064
    num cache misses                 |     362038 |     452958 |     458151 |     400741
    miss rate                        |     22.97% |     31.79% |     28.27% |     22.21%
    mpki                             |       3.01 |       3.67 |       3.82 |       3.35
  Cache L3                           |            |            |            |           
    num cache accesses               |     369268 |     462432 |     465556 |     406804
    num cache misses                 |      47707 |      47282 |      56845 |      44724
    miss rate                        |     12.92% |     10.22% |     12.21% |     10.99%
    mpki                             |       0.40 |       0.38 |       0.47 |       0.37
DRAM summary                         |            |            |            |           
  num dram accesses                  |     314663 |          0 |          0 |          0
  average dram access latency (ns)   |      58.39 |        inf |        inf |        inf
  average dram queueing delay        |       4.96 |       0.00 |       0.00 |       0.00
  average dram bandwidth utilization |      3.00% |      0.00% |      0.00% |      0.00%
Coherency Traffic                    |            |            |            |           
  num loads from dram                |      47131 |      46813 |      56387 |      44344
  num loads from dram cache          |          0 |          0 |          0 |          0
  num loads from remote cache        |          0 |          0 |          0 |          0
