CPI                  Core 0     Core 1     Core 2     Core 3   
base                   0.25       0.25       0.25       0.25
depend-int             0.09       0.09       0.09       0.09
depend-fp              0.18       0.17       0.17       0.18
depend-branch          0.08       0.07       0.08       0.08
branch                 0.63       0.60       0.62       0.63
mem-l1d                0.18       0.18       0.18       0.18
mem-l2                 0.03       0.02       0.03       0.03
mem-l3                 0.06       0.08       0.08       0.07
mem-dram               0.04       0.03       0.05       0.04
other                  0.03       0.03       0.03       0.03

total                  1.56       1.52       1.56       1.57
